printed_text	handwritten_text	blank	cover	illustration	chart	filename
0.42589343	0.3361809	0.018277932	0.023443826	0.05341877	0.14278518	54235610
0.120930046	0.56434363	0.0154663855	0.019230796	0.07328458	0.20674464	54235573
0.046465747	0.9267669	0.0016154185	0.0032160028	0.005278116	0.016657798	54227244
0.14294091	0.54445535	0.017492447	0.006559467	0.021470407	0.26708138	54235960
0.10990367	0.4847596	0.03409518	0.012002344	0.017466838	0.34177235	54235906
0.06189104	0.643515	0.0062697525	0.0076663466	0.04789699	0.23276095	54235752
0.12018243	0.7089868	0.010997089	0.0022746688	0.019981107	0.1375779	54236162
0.2171166	0.6813363	0.0069446894	0.005397678	0.050119307	0.039085478	54236084
0.2732986	0.4874649	0.0032315257	0.0013364004	0.03898278	0.19568576	54236122
0.11425187	0.84030485	0.004677389	0.0017254576	0.013228566	0.025811898	54236074
0.21682893	0.7025928	0.004795504	0.008428597	0.052791838	0.014562337	54236103
0.12511276	0.2566315	0.0071232156	0.0040285755	0.03213388	0.57497007	54236164
0.19816838	0.20679328	0.06446078	0.053938255	0.19362879	0.28301057	54236232
0.096916966	0.8528266	0.0015479828	0.0014866801	0.015980177	0.031241575	54236251
0.11887256	0.5610841	0.019223318	0.030637207	0.094159774	0.17602304	54236193
0.07303416	0.8080603	0.0010598605	0.0010801173	0.025882376	0.09088311	54236542
0.13007729	0.5334069	0.0045869937	0.0067559807	0.049100842	0.27607203	54236365
0.09578083	0.47629887	0.008114543	0.004729101	0.023014775	0.3920619	54236435
0.16033217	0.5213622	0.2654931	0.019625572	0.03209317	0.0010937719	54236644
0.13066866	0.8238359	0.0010009019	0.0017424918	0.015784925	0.026967058	54236656
0.19749978	0.659833	0.0016718245	0.008809968	0.10537722	0.026808186	54236859
0.35438845	0.5280634	0.003900984	0.0034669938	0.06050118	0.049678996	54236807
0.29343435	0.60687757	0.0012700782	0.0011938771	0.05081493	0.0464092	54236804
0.30680922	0.63492185	0.0005566514	0.0010273147	0.029422196	0.027262723	54236660
0.08035512	0.4643952	0.05090545	0.02796735	0.035812974	0.34056395	54236981
0.16972272	0.72875977	0.073327415	0.015311973	0.008196316	0.0046817404	54237007
0.07019303	0.7160904	0.0025969152	0.0015812495	0.024909273	0.18462913	54236935
0.03771437	0.8119046	0.004825506	0.0022928156	0.00985209	0.13341074	54236930
0.07320658	0.8525191	0.002585391	0.001194271	0.009358832	0.061135832	54236920
0.074333526	0.64812505	0.028835008	0.014775199	0.067016035	0.16691518	54236990
0.1023064	0.11388531	0.5339533	0.07240607	0.16130799	0.016140886	54227131
0.0058171316	0.99176383	0.00019013399	0.0003978827	0.00027919357	0.0015518323	54237071
0.079163894	0.7834543	0.0076298304	0.0057447725	0.015068774	0.108938515	54237138
0.028992893	0.44653052	0.0053303083	0.0020255353	0.004352048	0.5127687	54237036
0.026008934	0.14631693	0.0021952353	0.0025134194	0.024982698	0.7979827	54237082
0.4443322	0.4046416	0.009092175	0.015674852	0.08047609	0.045783013	54242601
0.06246986	0.007968934	0.014796744	0.4331581	0.48105526	0.00055105326	54242656
0.06821406	0.8808605	0.0017583924	0.00063843833	0.0038273653	0.04470125	54237151
0.15354724	0.04888485	0.37626737	0.16106075	0.2570589	0.0031808808	54249357
0.00064142235	0.014671981	0.97139627	0.00096929044	0.0014917357	0.0108293835	54249294
0.056468144	0.89777166	0.0026270582	0.00089417986	0.0056852736	0.03655369	54237155
0.0065069348	0.0022033206	8.161392e-05	0.0018382345	0.9890592	0.00031068941	54242610
0.7201889	0.10072888	0.0014923508	0.003091665	0.16921633	0.005281768	54242646
0.8189366	0.0774078	0.00026486872	0.000806445	0.08721172	0.015372599	54242641
0.0054663843	0.0038571232	0.0010831748	0.95880324	0.025540814	0.0052492954	54249350
0.0043114894	0.99383575	0.00011228175	0.000119862314	0.00091843493	0.00070204947	54249314
0.0042298473	0.00072106655	0.006703466	0.8785336	0.109482124	0.00032992123	54249359
0.015758658	0.9487626	0.0017240967	0.0011879766	0.0039915014	0.028575167	54249331
0.007249933	0.16239837	0.80630326	0.00699952	0.01022383	0.00682509	54249452
0.013254175	0.11119472	0.8193829	0.030119319	0.008746416	0.01730247	54249364
0.018349394	0.13916397	0.79668325	0.0065853833	0.012435421	0.026782518	54249365
0.027107803	0.93927807	0.00014242787	0.0007175742	0.010884382	0.021869611	54249401
0.047852214	0.9359958	0.00010996293	0.0017785953	0.0058699553	0.008393502	54249420
0.0060698483	0.9845753	0.0003930852	0.00018987234	0.0009999947	0.0077719586	54249341
0.0045780335	0.00094259594	0.0033744841	0.95922875	0.027717186	0.0041589597	54249360
0.004734011	0.0022677714	0.009038453	0.96883684	0.012428313	0.002694597	54249473
0.0074976324	0.9889847	7.191511e-05	0.00013438253	0.00098435	0.0023270615	54249369
0.008641406	0.003982193	0.0006293442	0.94722	0.037628237	0.0018988225	54252519
0.00870176	0.0034650795	0.007314713	0.94133425	0.035313487	0.003870637	54252594
0.013525235	0.97682357	6.519109e-05	0.0005012535	0.005220692	0.0038640178	54252524
0.015319494	0.96530885	0.0010816602	0.00081714673	0.0043142843	0.013158607	54252565
0.010412346	0.0019835313	0.00067318865	0.9514615	0.033714324	0.0017551742	54252645
0.01102181	0.9691001	0.00044732253	0.00062447623	0.005052412	0.0137538025	54252527
0.040917575	0.0077531408	0.0026593583	0.8244074	0.12273066	0.001531905	54252714
0.04240396	0.22921309	0.59301704	0.0053910273	0.017004998	0.11296987	54252650
0.033471737	0.016054036	0.34929946	0.50088215	0.09840274	0.0018898704	54252712
0.011118005	0.98183167	0.00013704637	0.00037594905	0.0033778383	0.003159458	54252678
0.0010010124	0.021371463	0.97236854	0.0005109269	0.00086696516	0.0038810167	54252708
0.010451785	0.97835404	0.00017803466	0.00022087278	0.0038326741	0.0069625764	54252701
0.04472615	0.25596732	0.1328207	0.5329427	0.033492774	5.042778e-05	54253627
0.014741935	0.9218556	0.00010378944	0.00015532038	0.0025951173	0.060548253	54253751
0.053560257	0.8785222	0.008879433	0.012216432	0.03382852	0.012993191	54253578
0.06847026	0.8773718	0.0018876328	0.0011358848	0.00382785	0.047306534	54253755
0.03614114	0.03369386	0.81309533	0.061349876	0.05223298	0.003486799	54253577
0.035983842	0.88227534	0.0012294617	0.0039820657	0.01316595	0.063363306	54252706
0.0071983477	0.019592494	0.75261194	0.18565315	0.033107597	0.0018364409	54253861
0.035494808	0.3537317	0.05027913	0.17336054	0.38398018	0.0031536077	54255706
0.110743746	0.1697343	0.25895956	0.432969	0.024782296	0.0028111965	54255678
0.031482078	0.8742617	0.0121744275	0.0005372454	0.003753807	0.077790745	54253648
0.025472801	0.5445536	0.32374445	0.058242578	0.034115452	0.013871133	54258596
0.07701988	0.09956756	0.48039877	0.30025914	0.036205713	0.006548968	54258692
0.091606684	0.31911364	0.005827627	0.5281967	0.052348457	0.0029068126	54258595
0.1682676	0.090264075	0.03738558	0.65633166	0.036696475	0.011054613	54258693
0.082610086	0.06926492	0.0073668123	0.66693836	0.16728105	0.0065387706	54258694
0.33762228	0.2686128	0.005733074	0.0029036242	0.16565304	0.21947514	54260112
0.022583628	0.056620374	0.0011695641	0.85571504	0.060512006	0.0033993775	54258594
0.043718297	0.00054440007	0.012633858	0.5596663	0.37662038	0.0068168724	54264282
0.7740444	0.11631463	0.0013462284	0.0092583485	0.06181584	0.03722052	54264255
0.76476824	0.07438642	0.0008104974	0.0045239036	0.1423568	0.013154124	54264263
0.8602703	0.09338801	0.00032774048	0.004446527	0.04093492	0.00063237414	54264225
0.41132468	0.1457032	0.1090403	0.069409326	0.21017307	0.054349437	54264283
0.045077015	0.037983928	0.40018165	0.36766186	0.14824907	0.000846471	54264336
0.55080307	0.20954871	0.0006665826	0.0005697724	0.18221365	0.05619825	54260103
0.2607682	0.4197088	0.014850863	0.026946018	0.18705136	0.09067478	54260429
0.85466224	0.05377766	0.00096011505	0.014377402	0.05980926	0.016413247	54264318
0.78368366	0.038968895	0.0037572982	0.013352193	0.1280261	0.0322119	54264307
0.4131536	0.029055944	0.00077911606	0.0007803713	0.033969905	0.5222611	54264334
0.007882191	0.005067815	0.0066134846	0.9132199	0.064409584	0.0028069888	54274381
0.01721317	0.0047936193	0.00070204516	0.8670634	0.10574333	0.004484384	54274324
0.008790273	0.9643066	0.0011096819	0.0014983614	0.0026764423	0.021618763	54274345
0.008294046	0.96958077	0.0006182223	0.00031901753	0.0054191235	0.015768932	54274341
0.017792221	0.9359717	0.00512808	0.0052064126	0.0095816115	0.026319986	54274373
0.5469288	0.35636884	0.020670483	0.012780024	0.024794552	0.038457308	54274522
0.006718735	0.010269832	0.96032315	0.008283075	0.0138043165	0.00060083705	54276516
0.054421287	0.9314248	0.0014315513	0.004069136	0.0062827533	0.0023706374	54274474
0.7329628	0.20643154	0.028686801	0.015190904	0.00932106	0.0074068173	54274560
0.07469544	0.8273431	0.0018532753	0.06571463	0.017613025	0.012780516	54276608
0.0010385726	0.0025479696	0.020968113	0.9716333	0.0036035837	0.00020840741	54276582
0.013098261	0.010616281	0.01817501	0.9171318	0.040430915	0.00054775533	54276698
0.046604928	0.61937565	0.047516152	0.12860133	0.046366777	0.1115351	54276595
0.020126604	0.9663069	0.00027598912	0.004095946	0.00481495	0.004379674	54276687
0.014708608	0.019914832	0.7347774	0.19441533	0.035304714	0.0008790649	54277806
0.03659995	0.20433524	0.586092	0.15743522	0.015391787	0.00014588599	54277805
0.063828684	0.06987556	0.7076713	0.03977769	0.11445431	0.0043925433	54278182
0.036344126	0.95355105	3.5540506e-05	2.9262217e-05	0.0016305853	0.008409498	54277963
0.0047894046	0.053483933	0.9186772	0.0036404468	0.005404607	0.014004427	54279744
0.09287412	0.15405688	0.63040006	0.03822124	0.06647346	0.017974308	54279669
0.041401397	0.88878244	0.00036454847	0.00059449894	0.028535012	0.040322024	54278021
0.012502596	0.94093174	0.0059438236	0.0025031439	0.0022479158	0.03587081	54279711
0.020464389	0.012266666	0.003717549	0.88551974	0.075951956	0.0020797513	54279749
0.017179186	0.9628704	0.00031178555	0.0009698159	0.007724856	0.010944005	54279678
0.018131321	0.008765025	0.0002764857	0.8564132	0.113625385	0.002788654	54279666
0.021379784	0.959445	0.0002542723	0.0005161013	0.0068503404	0.011554621	54279746
0.023678992	0.07978265	0.8658876	0.014959498	0.012773542	0.0029177407	54279800
0.0012276865	0.015081237	0.9773267	0.0031664371	0.0011920953	0.002005823	54279798
0.004860955	0.0016580826	0.0015706737	0.9734987	0.01780415	0.00060745736	54279750
0.0013493025	0.016904632	0.97655755	0.00069134176	0.00040139363	0.004095808	54279754
0.0107465545	0.9622655	0.00047545385	0.0005010131	0.0022539024	0.02375761	54279756
0.0096518425	0.98062783	0.0001613233	0.00027127948	0.0016568924	0.007630723	54279757
0.011997153	0.9630381	0.013143063	0.001414459	0.003400438	0.0070067854	54279779
0.049507055	0.027202705	0.5832892	0.25921392	0.076981954	0.003805179	54279960
0.019801829	0.9623611	0.00012259583	0.0006423549	0.0058532865	0.011218879	54279947
0.0016662345	0.00025608347	0.0026742904	0.99239504	0.0028320746	0.00017631895	54279804
0.030879175	0.6212383	0.0135402	0.038427558	0.0947423	0.20117249	54279837
0.012386321	0.11449822	0.85252136	0.010024629	0.002472591	0.008096898	54285862
0.009989196	0.98749185	0.00016517703	0.0009020007	0.00079819607	0.0006535883	54285876
0.0060423473	0.9921009	0.00018061891	0.00069416553	0.00056047796	0.00042148263	54285860
0.04406471	0.91722554	0.016819224	0.012865971	0.0058070393	0.0032176063	54285997
0.012232122	0.08119312	0.88208675	0.009551986	0.004877365	0.010058703	54285872
0.013361897	0.97788036	0.0026120278	0.00064363447	0.0006366311	0.004865514	54285861
0.16030191	0.8270279	0.001424098	0.0018599301	0.006798166	0.0025879522	54285991
0.015574589	0.9787659	0.00052397774	0.0024614912	0.0019937148	0.000680359	54285974
0.21645662	0.06851632	0.0013570787	0.03467506	0.67839247	0.0006024665	54286233
0.02404387	0.16590476	0.68903995	0.030956319	0.029902311	0.060152773	54279958
0.6485782	0.20788524	0.009354028	0.0049422747	0.057148658	0.072091535	54286176
0.014822519	0.9796648	1.4678477e-05	0.0001159391	0.0022469885	0.0031351077	54288368
0.5263896	0.2944314	0.07689438	0.037458677	0.033259038	0.031566963	54288280
0.13584055	0.13627914	0.06540067	0.5791429	0.07747775	0.005858942	54289291
0.045311972	0.07255169	0.08148902	0.604968	0.1864861	0.009193193	54289292
0.036394503	0.93942726	0.0036782217	0.013828216	0.004329361	0.0023424346	54289290
0.059753902	0.12886143	0.0075382683	0.73382324	0.068345174	0.0016779806	54289242
0.10515867	0.49828234	0.012024664	0.28099334	0.10065844	0.0028824976	54289243
0.050900035	0.87746525	0.006898445	0.025159264	0.01442319	0.025153745	54289244
0.42054337	0.5342259	0.00044948864	0.0020466326	0.018523011	0.024211654	54288248
0.01816949	0.95816195	5.303516e-05	0.00048343185	0.008421522	0.014710623	54279929
0.027719215	0.38910586	0.5313002	0.034201644	0.014458897	0.003214245	54292651
0.014607501	0.019901223	0.085436255	0.84452206	0.034566604	0.0009663973	54292650
0.053052064	0.043292236	0.27070066	0.56101656	0.063945904	0.007992572	54292748
0.0024675904	0.1756825	0.7690624	0.039618433	0.003368842	0.009800248	54292752
0.04704506	0.037154	0.1593309	0.669793	0.081961624	0.004715437	54292801
0.02992509	0.07380597	0.054862168	0.7940582	0.044393502	0.0029551059	54292802
0.059140846	0.15892342	0.0037825368	0.68802226	0.089839436	0.00029153883	54292751
