start_time	end_time	dl_time	width	height	ids_id
1681937178.6835961	1681937182.247414	3.5638179779052734	237.0	406.0	1646675
1681937178.6845093	1681937180.469618	1.7851088047027588	237.0	406.0	1646727
1681937178.6849556	1681937180.7232826	2.0383269786834717	235.0	416.0	1646742
1681937178.685531	1681937180.5103316	1.824800729751587	235.0	416.0	1646791
1681937178.6858897	1681937183.6953177	5.009428024291992	259.0	406.0	2374272
1681937178.6863823	1681937183.578394	4.892011642456055	267.0	418.0	2374137
1681937178.6867335	1681937183.8471985	5.1604650020599365	259.0	406.0	2374152
1681937178.687063	1681937183.675302	4.988239049911499	259.0	406.0	2374472
1681937178.68738	1681937183.7008	5.01341986656189	259.0	406.0	2374307
1681937178.68762	1681937180.4338963	1.7462763786315918	258.0	404.0	2390601
1681937178.6878686	1681937180.3986864	1.710817813873291	265.0	406.0	2390348
1681937178.6885157	1681937180.5767682	1.8882524967193604	265.0	406.0	2390502
1681937180.3987634	1681937181.1331139	0.7343504428863525	278.0	404.0	2390426
1681937180.4342418	1681937181.217083	0.7828412055969238	258.0	404.0	2390595
1681937180.4697063	1681937181.5191386	1.0494322776794434	264.0	403.0	2412814
1681937180.510697	1681937181.5350137	1.0243167877197266	265.0	403.0	2412643
1681937180.5770772	1681937181.575631	0.9985537528991699	264.0	403.0	2412823
1681937180.7233727	1681937182.5037751	1.780402421951294	264.0	404.0	2412696
1681937181.133384	1681937181.8038116	0.6704275608062744	264.0	404.0	2412756
1681937181.2173433	1681937182.1102633	0.8929200172424316	263.0	420.0	2431234
1681937181.5192106	1681937182.5421243	1.0229136943817139	263.0	420.0	2431437
1681937181.5353236	1681937182.2882154	0.7528917789459229	263.0	420.0	2431625
1681937181.5759218	1681937182.3438218	0.7678999900817871	263.0	420.0	2431595
1681937181.804176	1681937182.7238448	0.9196686744689941	260.0	401.0	2442608
1681937182.1107244	1681937182.854465	0.7437405586242676	262.0	424.0	2442714
1681937182.2477124	1681937184.1770337	1.9293212890625	260.0	424.0	2442626
1681937182.2886918	1681937183.1125093	0.8238174915313721	262.0	424.0	2442886
1681937182.3441305	1681937184.1788533	1.8347227573394775	262.0	424.0	2442911
1681937182.50389	1681937185.4301195	2.926229476928711	265.0	419.0	2450975
1681937182.5424533	1681937183.4761605	0.9337072372436523	264.0	406.0	2450976
1681937182.7240417	1681937183.6658452	0.9418034553527832	264.0	417.0	2451045
1681937182.8547933	1681937183.697518	0.8427248001098633	264.0	417.0	2451095
1681937183.1127744	1681937183.8381703	0.725395917892456	264.0	417.0	2451057
1681937183.476241	1681937184.4896102	1.013369083404541	250.0	423.0	4206501
1681937183.5787125	1681937184.481329	0.9026165008544922	250.0	423.0	4206342
1681937183.6661696	1681937184.4541755	0.7880058288574219	250.0	423.0	4206401
1681937183.6757386	1681937184.6957173	1.0199787616729736	250.0	423.0	4206255
1681937183.6956928	1681937184.8417068	1.1460139751434326	278.0	357.0	4296984
1681937183.6978927	1681937184.8411782	1.1432855129241943	287.0	371.0	4297047
1681937183.7013707	1681937184.8058217	1.1044509410858154	278.0	357.0	4297031
1681937183.8386714	1681937184.9771044	1.1384329795837402	278.0	357.0	4297002
1681937183.847457	1681937184.714729	0.867272138595581	278.0	357.0	4296991
1681937184.1774495	1681937184.8766527	0.6992032527923584	279.0	466.0	6089640
1681937184.1792047	1681937184.9023724	0.7231676578521729	278.0	465.0	6089600
1681937184.4544184	1681937185.1954296	0.7410111427307129	238.0	403.0	6089615
1681937184.4818287	1681937185.215903	0.7340743541717529	238.0	403.0	6089616
1681937184.489691	1681937185.2310803	0.741389274597168	238.0	403.0	6089637
1681937184.6961215	1681937186.1339726	1.4378511905670166	214.0	335.0	10166151
1681937184.7149513	1681937186.1076868	1.392735481262207	202.0	287.0	10166156
1681937184.8060153	1681937186.1354434	1.3294281959533691	205.0	328.0	10166138
1681937184.8415205	1681937186.2076855	1.3661649227142334	203.0	340.0	10166120
1681937184.8418913	1681937186.1318083	1.2899169921875	203.0	340.0	10166118
1681937184.8768706	1681937186.1101155	1.2332448959350586	203.0	340.0	10166116
1681937184.9025445	1681937185.7766786	0.8741340637207031	315.0	447.0	11242871
1681937184.9771976	1681937185.7783718	0.8011741638183594	314.0	434.0	11242858
1681937185.1954918	1681937186.0503864	0.8548946380615234	313.0	435.0	11242936
1681937185.2159615	1681937186.1759768	0.9600152969360352	313.0	435.0	11242914
1681937185.2311363	1681937186.2442846	1.013148307800293	230.0	422.0	11636082
1681937185.4302175	1681937186.3397813	0.9095637798309326	230.0	422.0	11636295
1681937185.7768629	1681937186.7491937	0.9723308086395264	230.0	422.0	11636145
1681937185.7788277	1681937186.5861208	0.807293176651001	230.0	422.0	11636304
1681937186.0506783	1681937186.6319633	0.5812849998474121	230.0	422.0	11636072
1681937186.1078067	1681937187.8327618	1.7249550819396973	230.0	422.0	11636078
1681937186.110231	1681937188.06411	1.9538791179656982	235.0	423.0	11635983
1681937186.1318707	1681937186.9394689	0.8075981140136719	230.0	422.0	11636227
1681937186.1340528	1681937187.0298944	0.8958415985107422	235.0	413.0	11635945
1681937186.1355274	1681937186.929865	0.7943375110626221	230.0	422.0	11636289
1681937186.1765583	1681937188.1015534	1.9249951839447021	317.0	453.0	12475283
1681937186.207755	1681937187.0839326	0.8761775493621826	316.0	456.0	12475098
1681937186.2443607	1681937187.3951414	1.1507806777954102	316.0	456.0	12475199
1681937186.3399105	1681937190.0644372	3.7245266437530518	305.0	460.0	12475103
1681937186.5861757	1681937187.2179844	0.6318087577819824	234.0	351.0	12733092
